19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0
19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0
19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,-97:8,-97:8,19:0,19:0
19:0,19:0,19:0,19:0,19:0,-97:8,-97:8,-97:8,-97:8,-97:8,-97:8,-97:8,-97:8,98:0,-97:8,19:0
19:0,19:0,19:0,19:0,-97:8,-97:8,-97:8,-97:8,98:0,-97:8,-97:8,-97:8,98:0,-97:8,-97:8,19:0
19:0,19:0,19:0,-97:8,-97:8,98:0,-97:8,-97:8,98:0,-97:8,-97:8,98:0,-97:8,-97:8,19:0,19:0
19:0,19:0,19:0,-97:8,-97:8,-97:8,-97:8,98:0,98:0,98:0,-97:8,-97:8,-97:8,-97:8,19:0,19:0
19:0,19:0,19:0,-97:8,-97:8,-97:8,98:0,-97:7,-97:7,-97:7,98:0,-97:8,-97:8,-97:8,19:0,19:0
19:0,19:0,19:0,-97:8,98:0,98:0,98:0,-97:7,-119:0,-97:7,98:0,98:0,98:0,-97:8,19:0,19:0
19:0,19:0,19:0,-97:8,-97:8,-97:8,98:0,-97:7,-97:7,-97:7,98:0,-97:8,-97:8,-97:8,19:0,19:0
19:0,19:0,19:0,-97:8,-97:8,-97:8,-97:8,98:0,98:0,98:0,-97:8,-97:8,-97:8,-97:8,19:0,19:0
19:0,19:0,19:0,-97:8,-97:8,98:0,-97:8,-97:8,98:0,-97:8,-97:8,98:0,-97:8,-97:8,19:0,19:0
19:0,19:0,19:0,19:0,-97:8,-97:8,-97:8,-97:8,98:0,-97:8,-97:8,-97:8,-97:8,19:0,19:0,19:0
19:0,19:0,19:0,19:0,19:0,-97:8,-97:8,-97:8,-97:8,-97:8,-97:8,-97:8,19:0,19:0,19:0,19:0
19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0
19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0
19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0
19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0
19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,-101:0,-101:0,19:0,19:0
19:0,19:0,19:0,19:0,19:0,-101:0,-101:0,-101:0,35:1,-101:0,-101:0,-101:0,0:0,65:4,-101:0,19:0
19:0,19:0,19:0,19:0,-101:2,44:0,0:0,0:0,0:0,0:0,0:0,102:0,0:0,0:0,-101:0,19:0
19:0,19:0,19:0,-101:0,44:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,102:0,-101:0,19:0,19:0
19:0,19:0,19:0,-101:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,-101:0,19:0,-101:0
19:0,19:0,19:0,-101:0,0:0,0:0,0:0,-101:2,102:0,-101:2,0:0,0:0,0:0,-101:0,19:0,-101:0
19:0,19:0,19:0,35:1,0:0,0:0,0:0,102:0,0:0,102:0,0:0,0:0,0:0,35:1,19:0,19:0
19:0,19:0,19:0,-101:0,0:0,0:0,0:0,-101:2,102:0,-101:2,0:0,0:0,0:0,-101:0,19:0,19:0
19:0,19:0,19:0,-101:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,-101:0,19:0,19:0
19:0,19:0,19:0,-101:0,44:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,44:0,-101:0,19:0,19:0
19:0,19:0,19:0,19:0,-101:2,44:0,0:0,0:0,0:0,0:0,0:0,44:0,-101:2,19:0,19:0,19:0
19:0,19:0,19:0,19:0,19:0,-101:0,-101:0,-101:0,35:1,-101:0,-101:0,-101:0,19:0,19:0,19:0,19:0
19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0
19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,-101:0,-101:0,19:0,19:0,19:0,19:0,19:0
19:0,19:0,19:0,19:0,19:0,19:0,19:0,-101:0,-101:0,-101:0,19:0,19:0,19:0,19:0,19:0,19:0
19:0,19:0,19:0,19:0,19:0,19:0,19:0,-101:0,-101:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0
19:0,19:0,19:0,19:0,19:0,19:0,19:0,19:0,-101:0,19:0,19:0,19:0,-101:0,-101:0,19:0,19:0
19:0,19:0,19:0,19:0,19:0,-101:0,89:0,-101:0,35:1,-101:0,89:0,-101:0,0:0,65:4,-101:0,19:0
19:0,19:0,19:0,19:0,-101:2,0:0,0:0,0:0,0:0,0:0,0:0,102:0,0:0,0:0,-101:0,19:0
19:0,19:0,19:0,-101:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,102:0,-101:0,-101:0,-101:0
19:0,19:0,19:0,89:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,89:0,-101:0,93:12
-101:0,19:0,19:0,-101:0,0:0,0:0,0:0,102:0,102:0,102:0,0:0,0:0,0:0,-101:0,-101:0,93:12
-101:0,-101:0,-101:0,35:1,0:0,0:0,0:0,102:0,0:0,102:0,0:0,0:0,0:0,35:1,-101:0,-101:0
-101:0,-101:0,19:0,-101:0,0:0,0:0,0:0,102:0,102:0,102:0,0:0,0:0,0:0,-101:0,19:0,-101:0
19:0,19:0,19:0,89:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,89:0,19:0,19:0
